Designator,Mid X,Mid Y,Rotation,Layer
C1,109.4635,-119.1589,270.0,top
C2,120.8427,-119.1589,270.0,top
J1,186.6848,-126.8984,0.0,top
J10,169.1488,-119.126,270.0,bottom
J2,169.2657,-126.9163,0.0,top
J3,155.1993,-126.8655,0.0,top
J4,125.1712,-126.8984,0.0,top
J5,113.8428,-126.8984,0.0,top
J6,155.143,-119.126,270.0,bottom
J7,186.878,-119.126,270.0,bottom
J8,125.3131,-119.0573,270.0,bottom
J9,113.8373,-119.0573,270.0,bottom
R1,148.2344,-125.476,90.0,top
R2,148.2344,-121.158,90.0,top
